encoder,seconds,current (A),charge (C)
2073.0,0.24399999999999999,0.34460000000000002,0.084082400000000002
2174.0,0.252,0.2344,0.059068799999999998
2380.0,0.26700000000000002,0.09290000000000001,0.024804300000000005
2482.0,0.27400000000000002,1.9429000000000001,0.53235460000000001
2583.0,0.28100000000000003,0.021999999999999999,0.006182
2684.0,0.28799999999999998,0.0263,0.0075743999999999994
2887.0,0.30299999999999999,0.039100000000000003,0.0118473
3100.0,0.318,0.0872,0.0277296
3212.0,0.32500000000000001,0.17319999999999999,0.05629
3328.0,0.33200000000000002,1.1529,0.38276280000000001
3574.0,0.34699999999999998,1.0087999999999999,0.35005359999999996
3705.0,0.35399999999999998,0.91179999999999994,0.32277719999999999
3835.0,0.36099999999999999,0.98380000000000001,0.35515180000000002
4102.0,0.376,1.4057999999999999,0.52858079999999996
4235.0,0.38300000000000001,0.54510000000000003,0.20877330000000002
4369.0,0.39100000000000001,0.46329999999999999,0.18115030000000001
4502.0,0.39800000000000002,1.7,0.67659999999999998
4636.0,0.40500000000000003,0.255,0.10327500000000001
4768.0,0.41199999999999998,1.9267000000000001,0.79380039999999996
5035.0,0.42599999999999999,1.8653,0.79461779999999993
5300.0,0.442,0.0395,0.017458999999999999
5431.0,0.44900000000000001,1.4585999999999999,0.65491139999999992
5564.0,0.45600000000000002,0.019100000000000002,0.0087096000000000014
5838.0,0.46999999999999997,1.2503,0.58764099999999997
5979.0,0.47799999999999998,0.033100000000000004,0.0158218
6130.0,0.48599999999999999,1.0985999999999998,0.53391959999999994
6277.0,0.49299999999999999,1.0145,0.5001485
6423.0,0.5,0.15059999999999998,0.075299999999999992
6573.0,0.50700000000000001,1.0628,0.53883959999999997
6862.0,0.52300000000000002,0.67849999999999999,0.35485549999999999
7007.0,0.53000000000000003,0.79749999999999999,0.42267500000000002
7149.0,0.53700000000000003,0.98520000000000008,0.52905240000000009
7425.0,0.55100000000000005,0.40939999999999999,0.22557940000000001
7563.0,0.55900000000000005,1.3691,0.76532690000000003
7695.0,0.56599999999999995,0.35489999999999999,0.20087339999999998
7957.0,0.57999999999999996,0.24690000000000001,0.143202
8219.0,0.59399999999999997,0.13269999999999998,0.078823799999999986
8352.0,0.60199999999999998,1.5426,0.92864519999999995
8485.0,0.60899999999999999,0.050000000000000003,0.030450000000000001
8623.0,0.61599999999999999,1.5562,0.9586192
8892.0,0.63100000000000001,0.019899999999999998,0.012556899999999999
9159.0,0.64600000000000002,0.025399999999999999,0.0164084
9298.0,0.65300000000000002,1.2190999999999999,0.79607229999999995
9431.0,0.66000000000000003,0.044400000000000002,0.029304000000000004
9714.0,0.67500000000000004,0.99320000000000008,0.67041000000000006
9857.0,0.68200000000000005,0.31,0.21142000000000002
10003.0,0.68999999999999995,0.49260000000000004,0.33989399999999997
10285.0,0.70399999999999996,0.749,0.52729599999999999

