encoder,seconds,current (A),charge (C)
2001.0,0.23499999999999999,0.19750000000000001,0.046412500000000002
2090.0,0.24299999999999999,1.8669,0.45365669999999997
2181.0,0.249,1.944,0.48405599999999999
2273.0,0.255,0.030199999999999998,0.0077009999999999995
2365.0,0.26200000000000001,0.032199999999999999,0.0084364000000000001
2458.0,0.26800000000000002,0.0511,0.0136948
2552.0,0.27400000000000002,1.3945000000000001,0.38209300000000007
2649.0,0.28100000000000003,1.429,0.40154900000000004
2744.0,0.28799999999999998,0.42860000000000004,0.1234368
2842.0,0.29499999999999998,0.70699999999999996,0.20856499999999997
2942.0,0.30099999999999999,1.0545,0.31740449999999998
3039.0,0.307,0.97050000000000003,0.29794350000000003
3139.0,0.314,0.85960000000000003,0.2699144
3239.0,0.32000000000000001,1.6396999999999999,0.52470399999999995
3338.0,0.32700000000000001,1.7097,0.55907190000000007
3438.0,0.33400000000000002,0.39200000000000002,0.13092800000000002
3538.0,0.34000000000000002,0.29519999999999996,0.100368
3638.0,0.34599999999999997,1.8394999999999999,0.63646699999999989
3739.0,0.35299999999999998,1.7977000000000001,0.63458809999999999
3841.0,0.35899999999999999,0.047,0.016872999999999999
3944.0,0.36499999999999999,0.0223,0.0081394999999999992
4048.0,0.373,0.0252,0.0093995999999999993
4155.0,0.379,1.2543,0.47537970000000002
4263.0,0.38600000000000001,1.3284,0.51276240000000006
4373.0,0.39200000000000002,0.088200000000000001,0.034574399999999998
4488.0,0.39800000000000002,0.19789999999999999,0.078764200000000006
4600.0,0.40500000000000003,0.94679999999999997,0.38345400000000002
4714.0,0.41199999999999998,0.81599999999999995,0.33619199999999994
4828.0,0.41799999999999998,0.88570000000000004,0.37022260000000001
4943.0,0.42499999999999999,1.0341,0.43949250000000001
5055.0,0.43099999999999999,1.1856,0.51099359999999994
5168.0,0.437,0.3417,0.14932290000000001
5279.0,0.44400000000000001,0.31789999999999996,0.14114759999999998
5387.0,0.45000000000000001,1.8295999999999999,0.82331999999999994
5494.0,0.45700000000000002,1.8208,0.8321056
5598.0,0.46400000000000002,1.6105999999999998,0.74731839999999994
5701.0,0.46999999999999997,0.065599999999999992,0.030831999999999995
5802.0,0.47599999999999998,0.0385,0.018325999999999999
5903.0,0.48299999999999998,1.5206,0.73444979999999993
6004.0,0.48899999999999999,1.5163,0.74147069999999993
6104.0,0.495,1.3352999999999999,0.66097349999999999
6205.0,0.503,0.0574,0.028872200000000001
6307.0,0.50900000000000001,0.1031,0.052477900000000001
6410.0,0.51500000000000001,1.0574000000000001,0.54456100000000007
6513.0,0.52200000000000002,0.98270000000000002,0.51296940000000002
6617.0,0.52800000000000002,0.68310000000000004,0.36067680000000002
6719.0,0.53400000000000003,0.9577,0.51141179999999997
6824.0,0.54200000000000004,0.69679999999999997,0.37766559999999999
6928.0,0.54800000000000004,0.5494,0.30107120000000004
7029.0,0.55400000000000005,0.53139999999999998,0.29439560000000004
7130.0,0.56100000000000005,1.6758,0.94012380000000006
7230.0,0.56699999999999995,1.6489,0.93492629999999999
7328.0,0.57399999999999995,0.14630000000000001,0.083976200000000001
7426.0,0.57999999999999996,0.10729999999999999,0.062233999999999991
7524.0,0.58699999999999997,0.055399999999999998,0.032519799999999995
7621.0,0.59399999999999997,1.3864000000000001,0.82352159999999996
7717.0,0.59999999999999998,1.5345,0.92069999999999996
7811.0,0.60599999999999998,0.0292,0.017695200000000001
7905.0,0.61299999999999999,0.037200000000000004,0.0228036
7997.0,0.61899999999999999,1.1448,0.70863120000000002
8089.0,0.626,1.1085999999999998,0.69398359999999992
8178.0,0.63300000000000001,0.94920000000000004,0.60084360000000003
8269.0,0.63900000000000001,0.49889999999999995,0.3187971
8358.0,0.64500000000000002,0.72150000000000003,0.46536750000000005
8447.0,0.65200000000000002,0.7387999999999999,0.48169759999999995
8536.0,0.65800000000000003,0.56859999999999999,0.37413879999999999
8624.0,0.66400000000000003,0.41039999999999999,0.27250560000000001
8712.0,0.67200000000000004,1.4858,0.99845760000000006
8799.0,0.67800000000000005,1.7585999999999999,1.1923308000000001
8885.0,0.68400000000000005,0.2195,0.15013800000000002
8973.0,0.69099999999999995,0.1419,0.098052899999999985
9059.0,0.69699999999999995,1.5597999999999999,1.0871805999999997
9146.0,0.70299999999999996,1.4870999999999999,1.0454313
9233.0,0.71099999999999997,1.4734,1.0475874000000001
9320.0,0.71699999999999997,0.023300000000000001,0.016706100000000002
9408.0,0.72299999999999998,0.029000000000000001,0.020967
9496.0,0.72999999999999998,1.2507999999999999,0.9130839999999999
9585.0,0.73599999999999999,1.1767000000000001,0.86605120000000002
9676.0,0.74199999999999999,0.15030000000000002,0.11152260000000001
9767.0,0.749,0.36760000000000004,0.27533240000000003
9858.0,0.75600000000000001,0.80200000000000005,0.60631200000000007
9951.0,0.76300000000000001,0.8095,0.61764850000000004
10043.0,0.76900000000000002,0.64039999999999997,0.49246760000000001
10135.0,0.77500000000000002,1.1492,0.89063000000000003
10228.0,0.78200000000000003,1.3635999999999999,1.0663351999999999
10321.0,0.78800000000000003,0.33639999999999998,0.26508320000000002
10413.0,0.79400000000000004,0.2626,0.20850440000000001
10507.0,0.80200000000000005,0.17269999999999999,0.1385054
10602.0,0.80800000000000005,1.5412000000000001,1.2452896000000002
10698.0,0.81399999999999995,1.492,1.214488
10797.0,0.82099999999999995,0.035900000000000001,0.029473900000000001
10899.0,0.82699999999999996,0.021899999999999999,0.018111299999999997
10999.0,0.83299999999999996,1.3300000000000001,1.10789
11101.0,0.84099999999999997,1.3971,1.1749611
11202.0,0.84699999999999998,0.0511,0.043281699999999999
11301.0,0.85299999999999998,0.083299999999999999,0.071054900000000004
11400.0,0.85999999999999999,0.188,0.16167999999999999
11499.0,0.86599999999999999,1.0144,0.87847039999999998
11597.0,0.872,0.98809999999999998,0.86162320000000003
11695.0,0.879,0.93200000000000005,0.81922800000000007
11791.0,0.88600000000000001,1.1372,1.0075592
11888.0,0.89300000000000002,1.325,1.183225
11985.0,0.89900000000000002,0.51579999999999993,0.46370419999999996
12083.0,0.90500000000000003,0.38330000000000003,0.34688650000000004
12181.0,0.91200000000000003,1.9824999999999999,1.8080400000000001
12280.0,0.91800000000000004,1.6962000000000002,1.5571116000000003
12380.0,0.92500000000000004,0.1008,0.093240000000000003
12480.0,0.93200000000000005,0.0877,0.081736400000000001
12580.0,0.93799999999999994,1.5967,1.4977045999999998
12681.0,0.94399999999999995,1.5592000000000001,1.4718848
12782.0,0.95099999999999996,1.5335999999999999,1.4584535999999997
12884.0,0.95699999999999996,0.036499999999999998,0.034930499999999996
12987.0,0.96299999999999997,0.057099999999999998,0.054987299999999996
13089.0,0.97099999999999997,1.2677,1.2309367
13193.0,0.97699999999999998,1.0747,1.0499818999999999
13296.0,0.98299999999999998,0.48020000000000002,0.47203660000000003
13401.0,0.98999999999999999,0.71739999999999993,0.71022599999999991
13506.0,0.996,0.85520000000000007,0.85177920000000007
13612.0,1.002,0.64639999999999997,0.64769279999999996
13718.0,1.01,0.55970000000000009,0.56529700000000005
13827.0,1.016,1.5161,1.5403576000000001
13936.0,1.0229999999999999,1.5483,1.5839108999999998
14046.0,1.0289999999999999,0.24349999999999999,0.25056149999999999
14158.0,1.0349999999999999,0.18359999999999999,0.19002599999999997
14270.0,1.042,0.107,0.111494
14383.0,1.048,1.5771999999999999,1.6529056
14495.0,1.0549999999999999,1.4389000000000001,1.5180395
14608.0,1.0620000000000001,0.023899999999999998,0.0253818
14719.0,1.0680000000000001,0.027100000000000003,0.028942800000000005
