encoder,seconds,current (A),charge (C)
2108.0,0.14499999999999999,1.2972000000000001,0.18809400000000001
2273.0,0.152,0.086999999999999994,0.013223999999999998
2452.0,0.16,0.050500000000000003,0.0080800000000000004
2637.0,0.16900000000000001,0.024899999999999999,0.0042081000000000002
2828.0,0.17699999999999999,0.015900000000000001,0.0028143
3024.0,0.184,0.0146,0.0026863999999999998
3224.0,0.192,0.0206,0.0039551999999999999
3433.0,0.20100000000000001,0.029100000000000001,0.0058491000000000003
3647.0,0.20899999999999999,0.054600000000000003,0.0114114
3866.0,0.218,0.61920000000000008,0.13498560000000001
4088.0,0.22600000000000001,0.50919999999999999,0.11507920000000001
4314.0,0.23499999999999999,0.48060000000000003,0.112941
4546.0,0.24299999999999999,0.5675,0.13790250000000001
4787.0,0.252,0.25850000000000001,0.065142000000000005
5030.0,0.26100000000000001,0.85320000000000007,0.22268520000000003
5279.0,0.27000000000000002,0.1303,0.035181000000000004
5534.0,0.27900000000000003,0.86670000000000003,0.24180930000000003
5794.0,0.28799999999999998,0.045200000000000004,0.013017600000000001
6066.0,0.29799999999999999,0.80810000000000004,0.24081379999999999
6336.0,0.307,0.0144,0.0044207999999999999
6622.0,0.317,0.014500000000000001,0.0045964999999999999
6912.0,0.32600000000000001,0.0206,0.0067156000000000004
7206.0,0.33600000000000002,0.041100000000000005,0.013809600000000002
7508.0,0.34699999999999998,0.1263,0.043826099999999993
7806.0,0.35699999999999998,0.38600000000000001,0.13780200000000001
8111.0,0.36599999999999999,0.29499999999999998,0.10797
8419.0,0.376,0.24930000000000002,0.093736800000000009
8730.0,0.38700000000000001,0.19340000000000002,0.074845800000000004
9048.0,0.39700000000000002,0.73670000000000002,0.2924699
9375.0,0.40699999999999997,0.78139999999999998,0.31802979999999997
9703.0,0.41699999999999998,0.67970000000000008,0.28343490000000005
10039.0,0.42899999999999999,0.015300000000000001,0.0065637000000000004
10380.0,0.439,0.012199999999999999,0.0053558
10727.0,0.45000000000000001,0.47089999999999999,0.21190500000000001
11065.0,0.46000000000000002,0.49249999999999999,0.22655
11408.0,0.47199999999999998,0.054600000000000003,0.025771200000000001
11764.0,0.48199999999999998,0.36180000000000001,0.1743876
12116.0,0.49299999999999999,0.33500000000000002,0.165155
12467.0,0.504,0.38630000000000003,0.19469520000000001
12827.0,0.51500000000000001,0.15480000000000002,0.079722000000000015
13185.0,0.52600000000000002,0.59829999999999994,0.31470579999999998
13554.0,0.53700000000000003,0.057299999999999997,0.030770100000000002
13932.0,0.54800000000000004,0.56420000000000003,0.30918160000000006
14309.0,0.56000000000000005,0.013599999999999999,0.0076160000000000004
14690.0,0.57099999999999995,0.011900000000000001,0.0067948999999999996
15075.0,0.58299999999999996,0.41460000000000002,0.2417118
15453.0,0.59499999999999997,0.36119999999999997,0.21491399999999997
15835.0,0.60599999999999998,0.1152,0.06981119999999999
16222.0,0.61699999999999999,0.31900000000000001,0.196823
16610.0,0.628,0.23330000000000001,0.14651240000000001
17002.0,0.64100000000000001,0.43189999999999995,0.27684789999999998
17397.0,0.65200000000000002,0.53460000000000008,0.34855920000000007
17795.0,0.66400000000000003,0.058999999999999997,0.039176000000000002
18204.0,0.67500000000000004,0.029399999999999999,0.019845000000000002
18615.0,0.68799999999999994,0.0149,0.010251199999999999
19028.0,0.69999999999999996,0.010500000000000001,0.0073499999999999998
19445.0,0.71199999999999997,0.0152,0.010822399999999999
19861.0,0.72499999999999998,0.030899999999999997,0.022402499999999999
20284.0,0.73699999999999999,0.1139,0.083944299999999999
20697.0,0.749,0.24030000000000001,0.1799847
21109.0,0.76000000000000001,0.36169999999999997,0.27489199999999997
21525.0,0.77300000000000002,0.44500000000000001,0.34398500000000004
21941.0,0.78500000000000003,0.49360000000000004,0.38747600000000004
22360.0,0.79700000000000004,0.5444,0.43388680000000002
22783.0,0.81000000000000005,0.48919999999999997,0.39625199999999999
23206.0,0.82199999999999995,0.44769999999999999,0.36800939999999999
23630.0,0.83399999999999996,0.46039999999999998,0.38397359999999997
24059.0,0.84599999999999997,0.017000000000000001,0.014382000000000001
24496.0,0.85899999999999999,0.047100000000000003,0.040458899999999999
24938.0,0.872,0.25390000000000001,0.22140080000000001
25366.0,0.88400000000000001,0.21590000000000001,0.19085560000000001
25799.0,0.89700000000000002,0.16019999999999998,0.14369939999999998

