encoder,seconds,current (A),charge (C)
2034.0,0.45600000000000002,0.069900000000000004,0.031874400000000004
2085.0,0.46300000000000002,0.033600000000000005,0.015556800000000003
2138.0,0.46999999999999997,0.0144,0.0067679999999999997
2191.0,0.47699999999999998,0.1206,0.0575262
2299.0,0.49299999999999999,0.0123,0.0060638999999999997
2410.0,0.50700000000000001,0.012699999999999999,0.0064389
2465.0,0.51400000000000001,0.69940000000000002,0.35949160000000002
2522.0,0.52100000000000002,0.013300000000000001,0.0069293000000000011
2635.0,0.53600000000000003,0.83489999999999998,0.44750640000000003
2749.0,0.55000000000000004,0.6362000000000001,0.34991000000000011
2806.0,0.55800000000000005,0.014199999999999999,0.0079235999999999994
2863.0,0.56499999999999995,0.35980000000000001,0.203287
2922.0,0.57199999999999995,0.25409999999999999,0.14534519999999998
2982.0,0.57999999999999996,0.0172,0.0099759999999999988
3043.0,0.58699999999999997,0.105,0.061634999999999995
3103.0,0.59399999999999997,0.0241,0.014315399999999999
3163.0,0.60099999999999998,0.025999999999999999,0.015625999999999998
3284.0,0.61499999999999999,0.1769,0.1087935
3405.0,0.63100000000000001,0.44010000000000005,0.27770310000000004
3465.0,0.63800000000000001,0.012199999999999999,0.0077835999999999999
3527.0,0.64500000000000002,0.0141,0.0090945000000000002
3652.0,0.65900000000000003,0.0129,0.008501100000000001
3716.0,0.66700000000000004,0.88070000000000004,0.58742690000000009
3780.0,0.67400000000000004,0.013599999999999999,0.0091663999999999999
3844.0,0.68100000000000005,0.013099999999999999,0.0089210999999999995
3908.0,0.68899999999999995,0.59160000000000001,0.40761239999999999
3972.0,0.69599999999999995,0.0141,0.0098135999999999987
4097.0,0.71099999999999997,0.0155,0.011020499999999999
4163.0,0.71799999999999997,0.0178,0.012780399999999999
4228.0,0.72499999999999998,0.0872,0.063219999999999998
4293.0,0.73199999999999998,0.0263,0.019251600000000001
4359.0,0.73899999999999999,0.019199999999999998,0.014188799999999998
4426.0,0.746,0.078400000000000011,0.058486400000000008
4493.0,0.755,0.011699999999999999,0.0088334999999999993
4626.0,0.76900000000000002,0.47349999999999998,0.36412149999999999
4693.0,0.77600000000000002,0.012,0.0093120000000000008
4762.0,0.78300000000000003,0.65189999999999992,0.51043769999999999
4900.0,0.79800000000000004,0.013800000000000002,0.011012400000000002
5035.0,0.81200000000000006,0.014800000000000001,0.012017600000000002
5172.0,0.82699999999999996,0.015800000000000002,0.013066600000000001
5240.0,0.83499999999999996,0.014500000000000001,0.0121075
5308.0,0.84199999999999997,0.29530000000000001,0.24864259999999999
5378.0,0.84899999999999998,0.0161,0.013668899999999999
5518.0,0.86299999999999999,0.021399999999999999,0.018468199999999997
5588.0,0.87,0.031100000000000003,0.027057000000000001
5658.0,0.878,0.0144,0.0126432
5801.0,0.89300000000000002,0.011300000000000001,0.010090900000000002
5872.0,0.90000000000000002,0.3947,0.35522999999999999
5944.0,0.90700000000000003,0.495,0.448965
6089.0,0.92200000000000004,0.6673,0.61525059999999998
6162.0,0.92900000000000005,0.012199999999999999,0.0113338
6234.0,0.93600000000000005,0.72099999999999997,0.67485600000000001
6307.0,0.94299999999999995,0.82379999999999998,0.77684339999999996
6453.0,0.95799999999999996,0.60760000000000003,0.58208079999999995
6527.0,0.96599999999999997,0.015300000000000001,0.014779800000000001
6601.0,0.97299999999999998,0.36560000000000004,0.35572880000000001
6748.0,0.98699999999999999,0.017100000000000001,0.016877699999999999
6821.0,0.99399999999999999,0.092999999999999999,0.092441999999999996
6896.0,1.0009999999999999,0.022499999999999999,0.022522499999999997
6971.0,1.0089999999999999,0.025000000000000001,0.025224999999999997
7121.0,1.024,0.17580000000000001,0.18001920000000002
