encoder,seconds,current (A),charge (C)
2024.0,0.441,0.42760000000000004,0.18857160000000001
2134.0,0.45600000000000002,0.63109999999999999,0.28778160000000003
2189.0,0.46300000000000002,0.0129,0.0059727000000000001
2244.0,0.46999999999999997,0.013099999999999999,0.0061569999999999993
2357.0,0.48399999999999999,0.013900000000000001,0.0067276000000000002
2415.0,0.49199999999999999,0.8256,0.40619519999999998
2474.0,0.499,0.0149,0.0074351
2593.0,0.51400000000000001,0.36849999999999999,0.18940899999999999
2652.0,0.52100000000000002,0.016,0.0083359999999999997
2712.0,0.52800000000000002,0.16750000000000001,0.088440000000000005
2772.0,0.53600000000000003,0.019600000000000003,0.010505600000000002
2832.0,0.54300000000000004,0.0241,0.0130863
2892.0,0.55000000000000004,0.0252,0.013860000000000001
3014.0,0.56399999999999995,0.011900000000000001,0.0067115999999999999
3138.0,0.57999999999999996,0.44950000000000001,0.26071
3202.0,0.58699999999999997,0.011900000000000001,0.0069852999999999998
3265.0,0.59399999999999997,0.64190000000000003,0.38128859999999998
3394.0,0.60799999999999998,0.74390000000000001,0.4522912
3459.0,0.61499999999999999,0.0132,0.0081180000000000002
3523.0,0.623,0.0134,0.0083482000000000001
3586.0,0.63,0.68310000000000004,0.43035300000000004
3649.0,0.63800000000000001,0.0144,0.0091871999999999995
3714.0,0.64500000000000002,0.45419999999999999,0.29295900000000002
3847.0,0.66000000000000003,0.017100000000000001,0.011286000000000001
3915.0,0.66700000000000004,0.1351,0.090111700000000003
3983.0,0.67400000000000004,0.021700000000000001,0.014625800000000001
4117.0,0.68799999999999994,0.044400000000000002,0.0305472
4186.0,0.69499999999999995,0.089999999999999997,0.062549999999999994
4254.0,0.70399999999999996,0.0134,0.0094336000000000003
4393.0,0.71799999999999997,0.011599999999999999,0.0083287999999999991
4463.0,0.72499999999999998,0.52610000000000001,0.3814225
4533.0,0.73199999999999998,0.62879999999999991,0.4602815999999999
4603.0,0.73899999999999999,0.0114,0.0084246000000000008
4673.0,0.747,0.74390000000000001,0.55569330000000006
4744.0,0.754,0.012199999999999999,0.0091988
4888.0,0.76900000000000002,0.64319999999999999,0.49462080000000003
5032.0,0.78300000000000003,0.35420000000000001,0.27733860000000005
5104.0,0.79100000000000004,0.0154,0.0121814
5176.0,0.79800000000000004,0.19080000000000003,0.15225840000000002
5321.0,0.81200000000000006,0.022200000000000001,0.018026400000000001
5394.0,0.81899999999999995,0.0287,0.0235053
5469.0,0.82599999999999996,0.053600000000000002,0.044273599999999996
5545.0,0.83499999999999996,0.011699999999999999,0.0097694999999999987
5621.0,0.84199999999999997,0.012199999999999999,0.010272399999999999
5696.0,0.84899999999999998,0.42180000000000001,0.35810819999999999
5842.0,0.86299999999999999,0.58720000000000006,0.50675360000000003
5917.0,0.87,0.012699999999999999,0.011049
5992.0,0.878,0.72639999999999993,0.63777919999999999
6147.0,0.89200000000000002,0.012800000000000001,0.0114176
6302.0,0.90700000000000003,0.0134,0.012153800000000001
